property_id,title,price_aed,beds,baths,area_sqft,property_type,city,community,handover_date,developer,status,image_url,detail_url,amenities,is_active,description
PROP-0014,Penthouse at Business Bay #14,11478000.0,4,4.0,2337.0,Penthouse,Dubai,Business Bay,2029-03-14,Meraas,off_plan,https://picsum.photos/seed/prop-0014/960/640,https://example-properties.local/prop-0014,"concierge,gym,metro,pool,school,waterfront",True,"Penthouse in Business Bay, Dubai. Developed by Meraas. Suitable for long-term investment."
PROP-0015,Villa at Downtown Dubai #15,8995000.0,4,3.7,2161.0,Villa,Dubai,Downtown Dubai,2027-07-16,Nakheel,off_plan,https://picsum.photos/seed/prop-0015/960/640,https://example-properties.local/prop-0015,"concierge,gym,waterfront",True,"Villa in Downtown Dubai, Dubai. Developed by Nakheel. Suitable for long-term investment."
PROP-0016,Townhouse at JVC #16,3660000.0,4,4.4,1823.0,Townhouse,Dubai,JVC,2027-05-07,Sobha,off_plan,https://picsum.photos/seed/prop-0016/960/640,https://example-properties.local/prop-0016,"beach,concierge,metro,pool,school,waterfront",True,"Townhouse in JVC, Dubai. Developed by Sobha. Suitable for long-term investment."
PROP-0017,Studio at Dubai Marina #17,1812000.0,5,4.6,2201.0,Studio,Dubai,Dubai Marina,2026-10-03,Sobha,off_plan,https://picsum.photos/seed/prop-0017/960/640,https://example-properties.local/prop-0017,"concierge,gym,pool,school",True,"Studio in Dubai Marina, Dubai. Developed by Sobha. Suitable for long-term investment."
PROP-0018,Townhouse at Dubai Hills #18,4914000.0,4,3.6,2010.0,Townhouse,Dubai,Dubai Hills,2028-05-07,Nakheel,off_plan,https://picsum.photos/seed/prop-0018/960/640,https://example-properties.local/prop-0018,"metro,school,waterfront",True,"Townhouse in Dubai Hills, Dubai. Developed by Nakheel. Suitable for long-term investment."
PROP-0019,Villa at Dubai Hills #19,4655000.0,2,1.8,1466.0,Villa,Dubai,Dubai Hills,2026-02-18,Sobha,off_plan,https://picsum.photos/seed/prop-0019/960/640,https://example-properties.local/prop-0019,"beach,pool,school",True,"Villa in Dubai Hills, Dubai. Developed by Sobha. Suitable for long-term investment."
PROP-0020,Studio at Downtown Dubai #20,1380000.0,3,2.6,1530.0,Studio,Dubai,Downtown Dubai,2026-11-27,DAMAC,off_plan,https://picsum.photos/seed/prop-0020/960/640,https://example-properties.local/prop-0020,"concierge,park,school,waterfront",True,"Studio in Downtown Dubai, Dubai. Developed by DAMAC. Suitable for long-term investment."
PROP-0021,Villa at Palm Jumeirah #21,3730000.0,1,1.4,858.0,Villa,Dubai,Palm Jumeirah,2028-04-22,Emaar,ready,https://picsum.photos/seed/prop-0021/960/640,https://example-properties.local/prop-0021,"concierge,gym,park,school",True,"Villa in Palm Jumeirah, Dubai. Developed by Emaar. Suitable for long-term investment."
PROP-0022,Villa at Dubai Hills #22,10216000.0,5,5.0,2923.0,Villa,Dubai,Dubai Hills,2027-12-15,Emaar,off_plan,https://picsum.photos/seed/prop-0022/960/640,https://example-properties.local/prop-0022,"concierge,gym,metro,park,pool",True,"Villa in Dubai Hills, Dubai. Developed by Emaar. Suitable for long-term investment."
PROP-0023,Penthouse at Palm Jumeirah #23,9919000.0,5,4.5,2957.0,Penthouse,Dubai,Palm Jumeirah,2028-01-12,DAMAC,off_plan,https://picsum.photos/seed/prop-0023/960/640,https://example-properties.local/prop-0023,"beach,concierge,gym,park,pool",True,"Penthouse in Palm Jumeirah, Dubai. Developed by DAMAC. Suitable for long-term investment."
PROP-0024,Townhouse at Downtown Dubai #24,2482000.0,1,1.0,1119.0,Townhouse,Dubai,Downtown Dubai,2026-03-24,Nakheel,ready,https://picsum.photos/seed/prop-0024/960/640,https://example-properties.local/prop-0024,"beach,gym,park,waterfront",True,"Townhouse in Downtown Dubai, Dubai. Developed by Nakheel. Suitable for long-term investment."
PROP-0025,Penthouse at Business Bay #25,8377000.0,2,1.8,1205.0,Penthouse,Dubai,Business Bay,2028-04-08,Emaar,ready,https://picsum.photos/seed/prop-0025/960/640,https://example-properties.local/prop-0025,"beach,concierge,park,waterfront",True,"Penthouse in Business Bay, Dubai. Developed by Emaar. Suitable for long-term investment."
PROP-0026,Townhouse at Dubai Marina #26,4869000.0,4,3.8,2562.0,Townhouse,Dubai,Dubai Marina,2028-01-04,Aldar,off_plan,https://picsum.photos/seed/prop-0026/960/640,https://example-properties.local/prop-0026,"gym,metro,park,pool,school,waterfront",True,"Townhouse in Dubai Marina, Dubai. Developed by Aldar. Suitable for long-term investment."
PROP-0027,Villa at Al Raha Beach #27,7030000.0,3,2.9,1560.0,Villa,Abu Dhabi,Al Raha Beach,2027-06-14,Nakheel,off_plan,https://picsum.photos/seed/prop-0027/960/640,https://example-properties.local/prop-0027,"pool,school,waterfront",True,"Villa in Al Raha Beach, Abu Dhabi. Developed by Nakheel. Suitable for long-term investment."
PROP-0028,Villa at Yas Island #28,8939000.0,5,4.8,2808.0,Villa,Abu Dhabi,Yas Island,2029-11-13,Aldar,off_plan,https://picsum.photos/seed/prop-0028/960/640,https://example-properties.local/prop-0028,"beach,concierge,gym,metro,park,pool",True,"Villa in Yas Island, Abu Dhabi. Developed by Aldar. Suitable for long-term investment."
PROP-0029,Studio at Saadiyat Island #29,1785000.0,5,4.8,2156.0,Studio,Abu Dhabi,Saadiyat Island,2027-11-03,Aldar,off_plan,https://picsum.photos/seed/prop-0029/960/640,https://example-properties.local/prop-0029,"beach,concierge,gym,metro,waterfront",True,"Studio in Saadiyat Island, Abu Dhabi. Developed by Aldar. Suitable for long-term investment."
PROP-0030,Studio at Al Reem Island #30,1978000.0,5,4.8,2837.0,Studio,Abu Dhabi,Al Reem Island,2029-10-28,Meraas,off_plan,https://picsum.photos/seed/prop-0030/960/640,https://example-properties.local/prop-0030,"gym,park,pool,waterfront",True,"Studio in Al Reem Island, Abu Dhabi. Developed by Meraas. Suitable for long-term investment."
PROP-0031,Penthouse at Yas Island #31,9662000.0,4,4.4,2372.0,Penthouse,Abu Dhabi,Yas Island,2026-07-08,Sobha,off_plan,https://picsum.photos/seed/prop-0031/960/640,https://example-properties.local/prop-0031,"metro,park,pool,waterfront",True,"Penthouse in Yas Island, Abu Dhabi. Developed by Sobha. Suitable for long-term investment."
PROP-0032,Studio at Saadiyat Island #32,1375000.0,4,3.6,2471.0,Studio,Abu Dhabi,Saadiyat Island,2029-03-24,Sobha,off_plan,https://picsum.photos/seed/prop-0032/960/640,https://example-properties.local/prop-0032,"beach,concierge,metro,park,school,waterfront",True,"Studio in Saadiyat Island, Abu Dhabi. Developed by Sobha. Suitable for long-term investment."
PROP-0033,Penthouse at Al Raha Beach #33,9147000.0,3,3.3,1661.0,Penthouse,Abu Dhabi,Al Raha Beach,2027-05-11,Nakheel,off_plan,https://picsum.photos/seed/prop-0033/960/640,https://example-properties.local/prop-0033,"beach,park,pool,school",True,"Penthouse in Al Raha Beach, Abu Dhabi. Developed by Nakheel. Suitable for long-term investment."
PROP-0034,Studio at Al Reem Island #34,780000.0,1,1.0,1057.0,Studio,Abu Dhabi,Al Reem Island,2027-07-13,Meraas,off_plan,https://picsum.photos/seed/prop-0034/960/640,https://example-properties.local/prop-0034,"beach,metro,park,pool,school,waterfront",True,"Studio in Al Reem Island, Abu Dhabi. Developed by Meraas. Suitable for long-term investment."
PROP-0035,Studio at Yas Island #35,1809000.0,4,4.0,2050.0,Studio,Abu Dhabi,Yas Island,2026-07-11,Sobha,ready,https://picsum.photos/seed/prop-0035/960/640,https://example-properties.local/prop-0035,"beach,concierge,gym,metro,park,waterfront",True,"Studio in Yas Island, Abu Dhabi. Developed by Sobha. Suitable for long-term investment."
PROP-0036,Townhouse at Al Raha Beach #36,4527000.0,4,4.4,2231.0,Townhouse,Abu Dhabi,Al Raha Beach,2027-08-06,Sobha,off_plan,https://picsum.photos/seed/prop-0036/960/640,https://example-properties.local/prop-0036,"beach,gym,metro",True,"Townhouse in Al Raha Beach, Abu Dhabi. Developed by Sobha. Suitable for long-term investment."
PROP-0037,Villa at Yas Island #37,6723000.0,4,3.8,2080.0,Villa,Abu Dhabi,Yas Island,2026-06-08,Sobha,off_plan,https://picsum.photos/seed/prop-0037/960/640,https://example-properties.local/prop-0037,"beach,metro,park,pool,school,waterfront",True,"Villa in Yas Island, Abu Dhabi. Developed by Sobha. Suitable for long-term investment."
PROP-0038,Apartment at Yas Island #38,1220000.0,1,1.4,825.0,Apartment,Abu Dhabi,Yas Island,2027-10-20,DAMAC,off_plan,https://picsum.photos/seed/prop-0038/960/640,https://example-properties.local/prop-0038,"beach,concierge,gym,metro,park,school",True,"Apartment in Yas Island, Abu Dhabi. Developed by DAMAC. Suitable for long-term investment."
PROP-0039,Townhouse at Yas Island #39,2617000.0,3,2.6,1682.0,Townhouse,Abu Dhabi,Yas Island,2028-11-20,Meraas,ready,https://picsum.photos/seed/prop-0039/960/640,https://example-properties.local/prop-0039,"concierge,gym,metro,pool,school,waterfront",True,"Townhouse in Yas Island, Abu Dhabi. Developed by Meraas. Suitable for long-term investment."
PROP-0040,Studio at Yas Island #40,850000.0,1,1.0,946.0,Studio,Abu Dhabi,Yas Island,2026-07-12,Nakheel,off_plan,https://picsum.photos/seed/prop-0040/960/640,https://example-properties.local/prop-0040,"beach,concierge,waterfront",True,"Studio in Yas Island, Abu Dhabi. Developed by Nakheel. Suitable for long-term investment."
